X,Y
560759.020478349,8571522.33906179
560756.495827487,8571519.62866351
560755.701400001,8571496.9599
560763.156300001,8571486.6426
560766.262500001,8571476.0448
560776.2024,8571463.2058
560787.530799999,8571449.4288
560793.3154,8571451.6868
560793.368500001,8571451.811
560793.522900001,8571451.5408
560793.5311,8571451.4285
560796.641400002,8571450.3308
560803.959500001,8571447.861
560813.2901,8571445.1167
560817.488799998,8571439.7057
560824.852699997,8571439.198
560828.70589999,8571447.55
560838.225199998,8571448.2936
560845.501400005,8571448.7872
560853.951500001,8571449.2788
560857.0617,8571450.8339
560864.276899997,8571452.7915
560868.704899995,8571458.0384
560873.532800001,8571458.0619
560872.96,8571461.3224
560872.8891,8571461.7949
560873.062400001,8571461.8586
560881.34,8571464.8994
560885.0842,8571466.2748
560887.6974,8571467.2081
560891.181800002,8571468.2658
560893.5701,8571468.9781
560893.695100002,8571469.0059
560895.828500001,8571469.48
560900.495600002,8571470.3177
560902.439100001,8571470.7352
560903.501300001,8571470.9413
560907.2345,8571471.7501
560909.281600001,8571472.2051
560911.546,8571472.7082
560914.746100004,8571470.5235
560916.757200003,8571475.6676
560916.343200003,8571497.84180001
560924.189800008,8571498.60320001
560927.657720073,8571499.78250646
560931.717924099,8571501.1165735
560939.437199993,8571498.7907
560950.843778662,8571500.1801633
560959.112024365,8571505.80257037
560962.088592819,8571506.46403003
560967.710999898,8571507.78694934
560973.664136804,8571508.11767917
560982.487800003,8571507.6525
560992.127,8571506.7719
561002.829497479,8571507.09087371
561016.054162023,8571505.93081542
561030.554890689,8571504.6547513
561037.515240448,8571502.33463471
561044.9091,8571499.6368
561053.238300002,8571497.0966
561054.2382,8571497.0923
561057.671700002,8571496.0917
561057.589200001,8571495.7698
561057.776100002,8571495.7128
561057.7788,8571493.938
561057.7816,8571492.3558
561051.1018,8571437.6313
561045.510700002,8571437.6313
561039.2982,8571438.0455
561032.257500001,8571437.6313
561026.569,8571439.9946
561017.299,8571438.9592
561013.154016286,8571434.15220853
561003.668400006,8571430.6393
560994.7759,8571429.5552
560988.198,8571428.03260001
560984.4219,8571422.7215
560979.976349099,8571418.37541573
560977.484700001,8571417.441
560973.550200001,8571414.3348
560968.373200002,8571410.8144
560964.4386,8571407.5011
560965.510700005,8571400.3993
560959.675800001,8571403.5666
560957.970400003,8571399.7538
560954.498800001,8571399.1325
560945.265199994,8571400.9232
560937.808230139,8571406.65882697
560917.971233325,8571407.93489109
560913.679500002,8571401.5931
560909.903400003,8571400.1192
560903.764,8571400.0462
560900.243600001,8571397.5612
560896.8268,8571394.7657
560895.118084948,8571390.76602835
560890.941875092,8571390.76602835
560888.3556,8571391.12
560884.1949,8571388.3462
560879.9192,8571387.4448
560875.205099998,8571386.70190001
560875.083400001,8571377.9921
560872.184199999,8571371.9868
560869.2851,8571365.5673
560868.0051,8571362.4473
560865.971800002,8571357.4912
560864.9364,8571353.1425
560864.522300001,8571348.3796
560865.557700001,8571345.2734
560865.764700001,8571343.8238
560867.835500002,8571336.7831
560868.602799995,8571329.1941
560876.905169744,8571323.13462985
560880.617356282,8571318.84241417
560880.733362111,8571298.7734057
560865.021800003,8571298.4609
560857.6886,8571300.6901
560853.1328,8571305.9281
560846.163624973,8571307.12582541
560839.319281042,8571307.82186038
560832.2177,8571308.8272
560826.215099998,8571307.28280001
560824.592400004,8571299.56960001
560816.613600003,8571296.96300001
560812.472,8571289.0816
560806.545689298,8571287.66326869
560805.138799999,8571279.9577
560796.891899993,8571281.1028
560795.089199996,8571288.00980001
560786.428199991,8571290.68990001
560777.372168183,8571296.33728328
560774.007999132,8571302.60159806
560782.719299998,8571310.7702
560786.580799999,8571315.84980001
560793.804200001,8571321.5627
560798.981300001,8571331.0884
560803.7045,8571339.0974
560803.7441,8571339.1645
560797.376600001,8571344.1344
560797.386899999,8571344.2195
560797.3972,8571344.5038
560792.55,8571349.0108
560785.521,8571354.3528
560784.24551357,8571361.5035579
560785.609199999,8571368.4439
560792.2597,8571368.5671
560798.670300001,8571369.7999
560797.9424,8571369.5379
560797.9424,8571369.3859
560806.746100006,8571370.6061
560809.195099996,8571377.4806
560817.100800001,8571377.9921
560819.2499,8571379.6528
560815.489500002,8571385.6416
560807.995700001,8571392.9569
560806.20761507,8571399.0863962
560790.8671,8571400.6291
560786.088600011,8571407.8699
560777.308700002,8571409.7183
560775.1982,8571412.3368
560775.590900003,8571417.1738
560766.319400005,8571418.98729999
560764.136978044,8571426.97869227
560756.218640703,8571430.35171253
560753.177700005,8571437.089
560747.761223237,8571440.32223772
560746.216472027,8571447.26360308
560737.937200001,8571451.2883
560733.852900005,8571465.8573
560725.879,8571470.72339999
560721.0918,8571477.9976
560720.9456,8571477.8723
560717.348520007,8571473.39104722
560715.694870867,8571476.03688584
560713.37976207,8571476.69834551
560715.048036378,8571483.25167579
560714.932030548,8571497.40438697
560717.716170452,8571503.78470758
560723.400456089,8571512.25313312
560724.908531871,8571520.72155866
560732.651920978,8571523.24468545
560740.636658835,8571521.13733023
560748.437123849,8571520.54043023
560754.454820412,8571520.41131092
560759.020478349,8571522.33906179
