X,Y
561484.348300001,8570799.3968
561477.992750025,8570799.73647624
561469.288937214,8570800.26735557
561458.134638453,8570808.68865235
561450.263981203,8570812.33196182
561447.535420854,8570819.92553495
561445.889703264,8570838.84169481
561438.008815493,8570839.43066326
561437.347355837,8570850.95751069
561435.500027729,8570866.84840554
561428.683820649,8570870.78543728
561427.756190822,8570889.65290058
561428.417650478,8570895.93676731
561424.779622369,8570902.22063405
561427.295499998,8570912.57920001
561426.988600001,8570930.7665
561426.2232,8570937.0431
561426.027,8570943.4193
561425.917,8570946.9938
561426.070100001,8570959.0877
561422.422582164,8570971.02793634
561427.9072,8570985.5719
561428.221300002,8570987.5618
561417.135200002,8570988.9232
561413.447,8570989.1691
561416.1689,8571030.3115
561416.9018,8571041.3889
561417.171300001,8571051.3602
561417.9619,8571067.4686
561418.036600001,8571068.9924
561415.745799997,8571095.2881
561418.1266,8571103.3134
561417.093299997,8571117.1952
561393.885148149,8571141.32449381
561391.101008245,8571159.8854265
561404.09366113,8571173.80612602
561426.263900004,8571176.307
561421.661700008,8571177.9761
561420.285800008,8571178.245
561410.761,8571179.3294
561401.889550373,8571177.80832714
561391.333019904,8571178.67837086
561386.704500007,8571183.9491
561377.746500002,8571189.0978
561376.352600001,8571190.893
561372.2539,8571192.8781
561370.268900001,8571194.183
561366.646,8571196.543
561362.545900002,8571200.1658
561361.775800001,8571200.9455
561360.996,8571201.8629
561357.758800001,8571205.4949
561347.202300002,8571210.2143
561346.607400001,8571210.4802
561333.794128556,8571213.248108
561327.310500001,8571215.0817
561326.504300001,8571215.1367
561326.367,8571215.9878
561316.178,8571210.7556
561311.2744,8571208.7439
561306.404100001,8571206.7458
561302.172300002,8571203.0836
561295.799900001,8571196.7113
561288.407300001,8571189.3187
561292.264041656,8571186.56676726
561288.0878318,8571179.83842915
561283.563604456,8571177.86633006
561275.861600001,8571178.7186
561272.654600002,8571173.1485
561272.830800001,8571170.7693
561274.044899999,8571171.3763
561277.183283843,8571171.7180211
561283.911621944,8571169.62991617
561288.667860947,8571164.52565968
561288.6207,8571156.9165
561281.755500001,8571149.0706
561274.747161427,8571142.13653462
561270.570951571,8571139.35239472
561265.002671763,8571133.32009159
561258.970368638,8571132.85606828
561251.4638,8571136.4031
561245.4054,8571133.6493
561240.784899999,8571131.8524
561240.7876,8571131.9804
561236.873800002,8571134.2635
561234.841156138,8571130.76796335
561231.1766,8571131.0281
561228.2095,8571128.9505
561227.4737,8571128.3209
561229.433400001,8571124.011
561227.916200002,8571122.7105
561216.145100001,8571117.2777
561213.975,8571115.726
561213.461400001,8571115.4743
561210.1568,8571112.9958
561209.0553,8571109.6913
561201.62,8571106.6621
561192.2571,8571102.8068
561187.3946,8571100.7496
561186.8432,8571103.5069
561186.2509,8571103.4249
561179.8024,8571102.0573
561176.4891,8571100.8148
561170.483800001,8571098.1228
561161.786400001,8571092.5316
561156.4023,8571088.8041
561155.2664,8571086.2226
561160.2397,8571083.014
561156.6951,8571076.2624
561156.188699999,8571076.2624
561154.163200001,8571073.3929
561151.293800002,8571074.0681
561150.992900001,8571073.9973
561148.222600001,8571062.6084
561148.192,8571062.5164
561147.994900001,8571062.6509
561143.7569,8571049.1421
561137.389600001,8571036.9171
561140.192800001,8571035.9827
561136.700224525,8571017.19825643
561128.115793154,8571014.41411653
561121.3022,8571015.8082
561112.163600001,8571019.2616
561105.3751,8571022.0007
561105.117100001,8571021.8901
561103.298900001,8571021.111
561102.043,8571020.5727
561101.5369,8571020.3558
561096.4796,8571014.7604
561086.9268,8571005.04
561076.928900001,8570996.2664
561073.76,8570996.8175
561070.572500001,8570997.5372
561068.516100001,8570999.2081
561065.1833,8571002.1409
561065.0119,8571002.0552
561064.773500002,8571002.2489
561061.017399996,8571007.30370001
561057.079100007,8571013.1345
561055.9268,8571025.7938
561054.800109018,8571039.93539898
561061.760458778,8571046.89574874
561071.6244,8571053.138
561071.954500001,8571053.0004
561076.8834,8571057.535
561081.2321,8571063.5403
561086.6162,8571070.581
561089.101100001,8571077.6218
561093.0357,8571088.597
561096.763100001,8571098.5369
561096.659600001,8571106.3024
561093.760400002,8571111.2724
561090.6542,8571114.1715
561084.850100001,8571118.3181
561085.656900002,8571119.2786
561085.6171,8571119.7571
561085.427800001,8571122.0286
561087.8533,8571127.9191
561090.4504,8571133.4129
561090.6542,8571133.8442
561053.677200001,8571150.3231
561052.167500001,8571151.7846
561052.110100001,8571151.928
561052.0319,8571151.9381
561049.5178,8571153.8935
561049.4958,8571153.8875
561049.244200001,8571154.0134
561044.5415,8571159.4396
561036.935211301,8571165.68571798
561033.919059739,8571170.09393949
561039.414100001,8571174.7903
561045.375100001,8571183.9284
561036.756,8571189.622
561035.31112969,8571192.83108204
561045.4694,8571201.3552
561049.4958,8571207.6464
561054.1199,8571214.7241
561056.674900001,8571212.298
561065.3807,8571218.392
561078.929321518,8571229.02490079
561099.022100001,8571235.6975
561098.937500001,8571236.142
561104.3215,8571238.0057
561104.069199999,8571238.4656
561103.527,8571239.9821
561129.855880594,8571254.77819491
561136.7156,8571253.6135
561140.4571,8571253.8473
561140.4917,8571254.074
561140.25,8571256.1252
561147.704900002,8571258.40310001
561156.816500001,8571265.0297
561163.2602,8571266.6915
561166.9634,8571267.5147
561172.968799999,8571266.8934
561185.8077,8571264.8226
561195.746700001,8571263.5806
561199.822800001,8571272.591
561199.956100001,8571272.9061
561200.2151,8571273.4041
561200.9774,8571275.7215
561202.571400001,8571280.97
561203.503900001,8571283.948
561212.198300001,8571281.8808
561215.269,8571282.3773
561217.321600001,8571282.6931
561217.8622,8571281.7051
561218.3189,8571281.8297
561218.4229,8571281.6997
561220.7055,8571282.4805
561222.892555717,8571285.86775717
561228.228823866,8571295.84425849
561239.133371823,8571294.6842002
561246.5577449,8571294.22017688
561256.3187,8571289.1546
561262.531100001,8571287.9121
561275.906300008,8571288.4603
561278.147500002,8571298.21780001
561288.1055,8571306.0316
561297.01,8571318.4565
561296.8029,8571331.7096
561288.301600001,8571332.1145
561277.684100001,8571330.5017
561247.141299998,8571329.8092
561245.832800001,8571347.2582
561244.383300002,8571367.3039
561233.393800005,8571369.12440001
561225.342,8571368.73450001
561217.338900003,8571368.7832
561211.1751,8571366.8098
